RAIL_OPR_ISTT_CD,LN_CD,STIN_CD,STIN_NM
AR,A1,A01,서울역
AR,A1,A02,공덕
AR,A1,A03,홍대입구
AR,A1,A04,디지털미디어시티
AR,A1,A042,마곡나루
AR,A1,A05,김포공항
AR,A1,A06,계양
AR,A1,A07,검암
AR,A1,A071,청라국제도시
AR,A1,A072,영종
AR,A1,A08,운서
AR,A1,A09,공항화물청사
AR,A1,A10,인천공항1터미널
AR,A1,A11,인천공항2터미널
DX,D1,4305,논현
DX,D1,4306,신논현
DX,D1,4307,강남
DX,D1,4308,양재(서초구청)
DX,D1,4309,양재시민의숲(매헌)
DX,D1,4310,청계산입구
DX,D1,4311,판교(판교테크노밸리)
DX,D1,4312,정자
DX,D1,4316,성복
DX,D1,4317,상현
DX,D1,4318,광교중앙(아주대)
DX,D1,4319,광교(경기대)
DX,D1,D04,신사
DX,D1,D13,미금(분당서울대병원)
DX,D1,D14,동천
DX,D1,D15,수지구청
EV,E1,Y110,기흥(백남준아트센터)
EV,E1,Y111,강남대
EV,E1,Y112,지석
EV,E1,Y113,어정
EV,E1,Y114,동백
EV,E1,Y115,초당
EV,E1,Y116,삼가
EV,E1,Y117,시청·용인대
EV,E1,Y118,명지대
EV,E1,Y119,김량장
EV,E1,Y120,운동장·송담대
EV,E1,Y121,고진
EV,E1,Y122,보평
EV,E1,Y123,둔전
EV,E1,Y124,전대·에버랜드
GM,G1,G100,양촌
GM,G1,G101,구래
GM,G1,G102,마산
GM,G1,G103,장기
GM,G1,G104,운양
GM,G1,G105,걸포북변
GM,G1,G106,사우(김포시청)
GM,G1,G107,풍무
GM,G1,G108,고촌
GM,G1,G109,김포공항
IA,M1,101,인천공항1터미널
IA,M1,102,장기주차장
IA,M1,103,합동청사
IA,M1,104,파라다이스시티
IA,M1,105,워터파크
IA,M1,106,용유
IC,7,751,까치울
IC,7,752,부천종합운동장
IC,7,753,춘의
IC,7,754,신중동
IC,7,755,부천시청
IC,7,756,상동
IC,7,757,삼산체육관
IC,7,758,굴포천
IC,7,759,부평구청
IC,7,760,산곡
IC,7,761,석남(거북시장)
IC,I1,110,계양
IC,I1,111,귤현
IC,I1,112,박촌
IC,I1,113,임학
IC,I1,114,계산
IC,I1,115,경인교대입구
IC,I1,116,작전
IC,I1,117,갈산
IC,I1,118,부평구청
IC,I1,119,부평시장
IC,I1,120,부평
IC,I1,121,동수
IC,I1,122,부평삼거리
IC,I1,123,간석오거리
IC,I1,124,인천시청
IC,I1,125,예술회관
IC,I1,126,인천터미널
IC,I1,127,문학경기장
IC,I1,128,선학
IC,I1,129,신연수
IC,I1,130,원인재
IC,I1,131,동춘
IC,I1,132,동막
IC,I1,133,캠퍼스타운
IC,I1,134,테크노파크
IC,I1,135,지식정보단지
IC,I1,136,인천대입구
IC,I1,137,센트럴파크
IC,I1,138,국제업무지구
IC,I1,139,송도달빛축제공원
IC,I2,201,검단오류
IC,I2,202,왕길
IC,I2,203,검단사거리
IC,I2,204,마전
IC,I2,205,완정
IC,I2,206,독정
IC,I2,207,검암
IC,I2,208,검바위
IC,I2,209,아시아드경기장
IC,I2,210,서구청
IC,I2,211,가정
IC,I2,212,가정중앙시장
IC,I2,213,석남
IC,I2,214,서부여성회관
IC,I2,215,인천가좌
IC,I2,216,가재울
IC,I2,217,주안국가산단
IC,I2,218,주안
IC,I2,219,시민공원
IC,I2,220,석바위시장
IC,I2,221,인천시청
IC,I2,222,석천사거리
IC,I2,223,모래내시장
IC,I2,224,만수
IC,I2,225,남동구청
IC,I2,226,인천대공원
IC,I2,227,운연
KR,1,104,지행
KR,1,114,도봉
KR,1,116,창동
KR,1,118,월계
KR,1,122,외대앞
KR,1,137,대방
KR,1,138,신길
KR,1,141,덕정
KR,1,142,구일
KR,1,145,온수
KR,1,146,역곡
KR,1,150,송내
KR,1,152,부평
KR,1,153,성균관대
KR,1,100,소요산
KR,1,101,동두천
KR,1,102,보산
KR,1,103,동두천중앙
KR,1,106,덕계
KR,1,108,녹양
KR,1,109,가능
KR,1,110,의정부
KR,1,111,회룡
KR,1,112,망월사
KR,1,113,도봉산
KR,1,115,방학
KR,1,117,녹천
KR,1,120,석계
KR,1,121,신이문
KR,1,123,회기
KR,1,134,남영
KR,1,135,용산
KR,1,136,노량진
KR,1,139,영등포
KR,1,140,신도림
KR,1,143,개봉
KR,1,144,오류동
KR,1,147,소사
KR,1,148,부천
KR,1,148,명학
KR,1,151,부개
KR,1,153,백운
KR,1,154,동암
KR,1,156,주안
KR,1,157,도화
KR,1,158,제물포
KR,1,159,도원
KR,1,160,동인천
KR,1,161,인천
KR,1,1715,세류
KR,1,1816,간석
KR,1,1822,중동
KR,1,199,광운대
KR,1,K107,양주
KR,1,K410,광명
KR,1,P141,구로
KR,1,P142,가산디지털단지
KR,1,P143,독산
KR,1,P144,금천구청
