운영노선명,역명,교통약자도우미 전화번호,en_name,f_code
1,서울,02-6110-1331,,
1,시청,02-6110-1321,,
1,종각,02-6110-1311,,
1,종로3가,02-6110-1301,,
1,종로5가,02-6110-1291,,
1,동대문,02-6110-1281,,
1,신설동,02-6110-1261,,
1,제기동,02-6110-1251,,
1,청량리(서울시립대입구),02-6110-1241,,
1,동묘앞,02-6110-1271,,
2,시청,02-6110-2011,,
2,을지로입구,02-6110-2021,,
2,을지로3가,02-6110-2031,,
2,을지로4가,02-6110-2041,,
2,동대문사문화공원(DDP),02-6110-2051,,
2,신당,02-6110-2061,,
2,상왕십리,02-6110-2071,,
2,왕십리(성동구청),02-6110-2081,,
2,한양대,02-6110-2091,,
2,뚝섬,02-6110-2101,,
2,성수,02-6110-2111,,
2,건대입구,02-6110-2121,Konkuk Univ.,212
2,구의(광진구청),02-6110-2131,,
2,강변(동서울터미널),02-6110-2141,,
2,잠실나루,02-6110-2151,,
2,잠실(송파구청),02-6110-2161,,
2,잠실새내,02-6110-2171,,
2,종합운동장,02-6110-2181,,
2,삼성(무센터),02-6110-2191,,
2,선릉,02-6110-2201,,
2,삼,02-6110-2211,,
2,강남,02-6110-2221,,
2,"교대(법원, 검찰청)",02-6110-2231,,
2,서초,02-6110-2241,,
2,방배,02-6110-2251,,
2,사당,02-6110-2261,,
2,낙성대(강감찬),02-6110-2271,,
2,서울대입구(관악구청),02-6110-2281,,
2,봉천,02-6110-2291,,
2,신림,02-6110-2301,,
2,신대방,02-6110-2311,,
2,구로디지털단지,02-6110-2321,,
2,대림(구로구청),02-6110-2331,,
2,신도림,02-6110-2341,,
2,문래,02-6110-2351,,
2,영등포구청,02-6110-2361,,
2,당산,02-6110-2371,,
2,합정,02-6110-2381,,
2,홍대입구,02-6110-2391,,
2,신촌(지하),02-6110-2401,,
2,이대,02-6110-2411,,
2,아현,02-6110-2421,,
2,충정로(경기대입구),02-6110-2431,,
2,용답,02-6110-1341,,
2,신답,02-6110-1351,,
2,신설동,02-6110-1371,,
2,도림천,02-6110-2441,,
2,양천구청,02-6110-2451,,
2,신정네거리,02-6110-2461,,
2,용두(동대문구청),02-6110-1361,,
3,지축,02-6110-3191,,
3,구파발,02-6110-3201,,
3,연신내,02-6110-3211,,
3,불광,02-6110-3221,,
3,녹번,02-6110-3231,,
3,홍제,02-6110-3241,,
3,무악재,02-6110-3251,,
3,독립문,02-6110-3261,,
3,경복궁(정부서울청사),02-6110-3271,,
3,안국,02-6110-3281,,
3,종로3가,02-6110-3291,,
3,을지로3가,02-6110-3301,,
3,충무로,02-6110-4231,,
3,동대입구,02-6110-3321,,
3,약수,02-6110-3331,,
3,금호,02-6110-3341,,
3,옥수,02-6110-3351,,
3,압구정,02-6110-3361,,
3,신사,02-6110-3371,,
3,잠원,02-6110-3381,,
3,고속터미널,02-6110-3391,,
3,"교대(법원, 검찰청)",02-6110-3401,,
3,남부터미널(예술의전당),02-6110-3411,,
3,양재(서초구청),02-6110-3421,,
3,매봉,02-6110-3431,,
3,도곡,02-6110-3441,,
3,대치,02-6110-3451,,
3,학여울,02-6110-3461,,
3,대청,02-6110-3471,,
3,일원,02-6110-3481,,
3,수서,02-6110-3491,,
3,가락시장,02-6110-3501,,
3,경찰병원,02-6110-3511,,
3,오금,02-6110-3521,,
4,당고개,02-6110-4091,,
4,상계,02-6110-4101,,
4,노원,02-6110-4111,,
4,창동,02-6110-4121,,
4,쌍문,02-6110-4131,,
4,수유(강북구청),02-6110-4141,,
4,미아(서울사이버대학),02-6110-4151,,
4,미아사거리 ,02-6110-4161,,
4,길음,02-6110-4171,,
