연번,호선,역명,장비종류,호기,승강기번호,운행구간,설치위치
1,1,서울(1),W/L,내부#1,1902-362,B2(승)~B1(대),내부C계단
2,1,신설동(1),W/L,외부#2,1903-467,지상~B1(대),6번출입구
3,1,신설동(1),W/L,내부#1,1903-415,B2(승)~B1(대),상선승강장시점측
4,1,신설동(1),W/L,내부#2,1903-417,B2(승)~B1(대),하선승강장시점측
5,1,신설동(1),W/L,내부#3,1903-416,B1(대)~B1(대),대합실연결통로
6,1,신설동(1),W/L,내부#4,1903-414,B1(대)~B1(대),대합실연결통로
7,1,청량리(1),W/L,내부#1,1903-411,B2(대)~B1(승),제기동측승강장
8,1,청량리(1),W/L,내부#2,1901-053,B2(대)~B1(승),섬식(상)8-2
9,2,한양대,W/L,내부#1,1900-169,F1(승)~F2(대),섬식(외)8-2
10,2,용답,W/L,내부#2,1900-168,F1(대)~F2(승),섬식(상)1-4
11,2,신설동(2),W/L,외부#1,1903-465,B1(대)⇔지상,10번입출구
12,2,신설동(2),W/L,내부#1,1903-461,B2(승)⇔B1(대),외선승강장시점측(상선)
13,2,신설동(2),W/L,내부#2,1903-462,B2(승)⇔B1(대),내선승강장시점측(하선)
14,2,신설동(2),W/L,내부#3,1903-418,B2(승)⇔B1(대),용두방향승강장
15,2,신설동(2),W/L,내부#4,1903-463,B1(대)⇔B1(대),환승통로2호선측
16,2,신설동(2),W/L,내부#5,1903-464,B1(대)⇔B1(대),환승통로1호선측
17,2,잠실,W/L,내부#1,1901-593,B1(대)⇔B1(대),상가측연결계단
18,2,삼성,W/L,내부#1,1901-463,B1(대)⇔B1(대),코액스측연결계단
19,2,신정네거리,W/L,내부#1,1902-885,B2(대)⇔B3(대),2번계단
20,2,용답,W/L,내부#1,1900-276,F1(대)⇔F2(승),성수측승강장
21,3,고속터미널,W/L,내부#1,1900-502,B2(대)⇔B1(대),2층대합실중앙
22,3,교대(3),W/L,내부#1,1900-627,B1(대)⇔B1(대),"B1층2,3호선연결계단"
23,4,상계,W/L,내부#1,1901-032,F2(대)~F3(승),상행3-1
24,4,상계,W/L,내부#2,1901-033,F2(대)~F3(승),하행8-3
25,4,창동,W/L,내부#3,1902-457,F2-F3,2번출구1호선연결통로
26,4,창동,W/L,내부#4,1902-455,F1-F3,1호선상선측승강장
27,4,창동,W/L,내부#5,1902-478,F1-F3,1호선하선측승강장
28,4,창동,W/L,내부#6,1902-456,F2-F3,1번출구1호선연결통로
29,4,이촌,W/L,외부#1,1900-286,B1(대)⇔국철,국철연결통로
30,4,사당(4),W/L,내부#1,1903-972,,"2,4호선대합실연결통로"
31,4,서울(4),W/L,외부#1,1900-165,B1(대)⇔지상,9-1번출구교통섬
32,4,충무로(4),W/L,내부#1,1902-017,,3호선승강장-4호선대합실
33,5,까치산,W/L,1,1901-411,B4-B5,내부
34,5,까치산,W/L,2,1901-412,B4-B5,내부
35,5,영등포구청,W/L,3,1901-375,B2-B4,내부
36,5,서대문,W/L,1,1900-038,B1-B1,내부
37,5,종로3가,W/L,1,1900-031,B4-B5,내부
38,5,답십리,W/L,1,1900-294,B1-B1,내부
39,5,장한평,W/L,1,1903-443,B1-B2,내부
40,5,광나루,W/L,1,1901-002,B1-B2,내부
41,5,강동,W/L,1,1900-817,B3-B4,내부
42,5,상일동,W/L,1,1901-918,B1-B2,내부
43,5,상일동,W/L,2,1901-919,B1-B2,내부
44,5,까치산,W/L,3,1901-413,F1-B1,외부
45,5,마천,W/L,3,1900-757,F1-B1,외부
46,5,동대문역사문화공원,W/L,1,1900-417,B4-B5,내부
47,5,동대문역사문화공원,W/L,4,1900-415,F1-B1,외부
48,5,영등포구청,W/L,2,1901-374,B4-B5,내부
49,5,강동,W/L,2,1901-921,B1-B3,내부
50,6,불광,W/L,1,1900-413,B1-B2,내부
51,6,불광,W/L,2,1900-414,B1-B2,내부
52,6,구산,W/L,1,1900-435,B2-B3,내부
53,6,새절,W/L,1,1900-434,B1-B2,내부
54,6,디지털미디어시티,W/L,1,1900-229,B2-B3,내부
55,6,디지털미디어시티,W/L,2,1900-230,B3-B3,내부
56,6,디지털미디어시티,W/L,3,1900-432,F1-B2,외부
57,6,합정,W/L,1,1903-890,B2-B3,내부
58,6,광흥창,W/L,1,1902-001,B2-B3,내부
59,6,대흥,W/L,2,1900-447,F1-B1,외부
60,6,삼각지,W/L,1,1900-246,B1-B4,내부
61,6,삼각지,W/L,3,1900-248,F1-B1,내부
62,6,신당,W/L,1,1900-251,B1-B2,내부
63,6,신당,W/L,2,1900-252,BM1-B1,내부
64,6,신당,W/L,3,1900-254,B1-B2,내부
65,6,신당,W/L,4,1900-253,B1-B2,내부
66,6,신당,W/L,5,1900-285,F1-B1,외부
67,6,월곡,W/L,1,1901-031,B1-B2,내부
68,6,상월곡,W/L,1,1903-486,B2-B3,내부
69,6,상월곡,W/L,2,1903-487,B2-B3,내부
70,6,석계,W/L,1,1901-003,B2-B3,내부
71,6,석계,W/L,2,1901-004,B2-B3,내부
72,6,봉화산,W/L,1,1903-412,B1-B2,내부
73,6,봉화산,W/L,2,1903-413,B1-B2,내부
74,6,동묘앞,W/L,1,1900-043,B1-B2,내부
75,6,동묘앞,W/L,2,1900-044,F1-B1,외부
76,6,마포구청,W/L,1,1900-249,B2-B3,내부
77,6,마포구청,W/L,2,1900-410,B2-B3,내부
78,6,마포구청,W/L,3,1900-411,B1-B2,내부
79,6,마포구청,W/L,4,1900-412,F1-B1,외부
80,6,공덕,W/L,1,1900-256,B1-B2,내부
81,6,효창공원앞,W/L,2,1900-407,F1-B1,외부
82,7,수락산,W/L,1,1902-608,B2-B3,내부
83,7,수락산,W/L,2,1902-495,B2-B3,내부
84,7,마들,W/L,1,1900-923,B1-B2,내부
85,7,건대입구,W/L,3,1902-289,환F2-B1,외부
86,7,건대입구,W/L,4,1901-957,B1-B2,내부
87,7,건대입구,W/L,5,1901-956,F1-B1,외부
88,7,청담,W/L,1,1901-913,B3-B4,내부
89,7,청담,W/L,2,1901-914,B3-B4,내부
90,7,논현,W/L,1,1900-831,B1-B2,내부
91,7,반포,W/L,1,1904-018,B1-B2,내부
92,7,고속터미널,W/L,1,1901-785,B1-B3,내부
93,7,고속터미널,W/L,2,1900-764,B2-B3,내부
94,7,고속터미널,W/L,3,1900-765,FM1-B1,내부
95,7,고속터미널,W/L,4,1900-766,FM1-B1,내부
96,7,이수,W/L,1,1901-232,B2-B3,내부
97,7,이수,W/L,2,1901-233,B2-B3,내부
98,7,이수,W/L,3,1901-234,B1-B2,내부
99,7,대림,W/L,1,1901-128,환F2-B2,내부
100,7,남구로,W/L,1,1901-117,B5-B4,내부
101,7,남구로,W/L,2,1901-118,B5-B4,내부
