호선,역명,승강기번호,운행구간,설치위치
1,서울,1902-362,B2(승)~B1(대),내부C계단
1,신설동,1903-467,지상~B1(대),6번출입구
1,신설동,1903-415,B2(승)~B1(대),상선승강장시점측
1,신설동,1903-417,B2(승)~B1(대),하선승강장시점측
1,신설동,1903-416,B1(대)~B1(대),대합실연결통로
1,신설동,1903-414,B1(대)~B1(대),대합실연결통로
1,청량리,1903-411,B2(대)~B1(승),제기동측승강장
1,청량리,1901-053,B2(대)~B1(승),섬식(상)8-2
2,한양대,1900-169,F1(승)~F2(대),섬식(외)8-2
2,용답,1900-168,F1(대)~F2(승),섬식(상)1-4
2,신설동,1903-465,B1(대)⇔지상,10번입출구
2,신설동,1903-461,B2(승)⇔B1(대),외선승강장시점측(상선)
2,신설동,1903-462,B2(승)⇔B1(대),내선승강장시점측(하선)
2,신설동,1903-418,B2(승)⇔B1(대),용두방향승강장
2,신설동,1903-463,B1(대)⇔B1(대),환승통로2호선측
2,신설동,1903-464,B1(대)⇔B1(대),환승통로1호선측
2,잠실,1901-593,B1(대)⇔B1(대),상가측연결계단
2,삼성,1901-463,B1(대)⇔B1(대),코액스측연결계단
2,신정네거리,1902-885,B2(대)⇔B3(대),2번계단
2,용답,1900-276,F1(대)⇔F2(승),성수측승강장
3,고속터미널,1900-502,B2(대)⇔B1(대),2층대합실중앙
3,교대,1900-627,B1(대)⇔B1(대),"B1층2,3호선연결계단"
4,상계,1901-032,F2(대)~F3(승),상행3-1
4,상계,1901-033,F2(대)~F3(승),하행8-3
4,창동,1902-457,F2-F3,2번출구1호선연결통로
4,창동,1902-455,F1-F3,1호선상선측승강장
4,창동,1902-478,F1-F3,1호선하선측승강장
4,창동,1902-456,F2-F3,1번출구1호선연결통로
4,이촌,1900-286,B1(대)⇔국철,국철연결통로
4,사당,1903-972,NULL,"2,4호선대합실연결통로"
4,서울,1900-165,B1(대)⇔지상,9-1번출구교통섬
4,충무로,1902-017,NULL,3호선승강장-4호선대합실
5,까치산,1901-411,B4-B5,내부
5,까치산,1901-412,B4-B5,내부
5,영등포구청,1901-375,B2-B4,내부
5,서대문,1900-038,B1-B1,내부
5,종로3가,1900-031,B4-B5,내부
5,답십리,1900-294,B1-B1,내부
5,장한평,1903-443,B1-B2,내부
5,광나루,1901-002,B1-B2,내부
5,강동,1900-817,B3-B4,내부
5,상일동,1901-918,B1-B2,내부
5,상일동,1901-919,B1-B2,내부
5,까치산,1901-413,F1-B1,외부
5,마천,1900-757,F1-B1,외부
5,동대문역사문화공원,1900-417,B4-B5,내부
5,동대문역사문화공원,1900-415,F1-B1,외부
5,영등포구청,1901-374,B4-B5,내부
5,강동,1901-921,B1-B3,내부
6,불광,1900-413,B1-B2,내부
6,불광,1900-414,B1-B2,내부
6,구산,1900-435,B2-B3,내부
6,새절,1900-434,B1-B2,내부
6,디지털미디어시티,1900-229,B2-B3,내부
6,디지털미디어시티,1900-230,B3-B3,내부
6,디지털미디어시티,1900-432,F1-B2,외부
6,합정,1903-890,B2-B3,내부
6,광흥창,1902-001,B2-B3,내부
6,대흥,1900-447,F1-B1,외부
6,삼각지,1900-246,B1-B4,내부
6,삼각지,1900-248,F1-B1,내부
6,신당,1900-251,B1-B2,내부
6,신당,1900-252,BM1-B1,내부
6,신당,1900-254,B1-B2,내부
6,신당,1900-253,B1-B2,내부
6,신당,1900-285,F1-B1,외부
6,월곡,1901-031,B1-B2,내부
6,상월곡,1903-486,B2-B3,내부
6,상월곡,1903-487,B2-B3,내부
6,석계,1901-003,B2-B3,내부
6,석계,1901-004,B2-B3,내부
6,봉화산,1903-412,B1-B2,내부
6,봉화산,1903-413,B1-B2,내부
6,동묘앞,1900-043,B1-B2,내부
6,동묘앞,1900-044,F1-B1,외부
6,마포구청,1900-249,B2-B3,내부
6,마포구청,1900-410,B2-B3,내부
6,마포구청,1900-411,B1-B2,내부
6,마포구청,1900-412,F1-B1,외부
6,공덕,1900-256,B1-B2,내부
6,효창공원앞,1900-407,F1-B1,외부
