"고유번호","노선","노선명칭","역명칭","역 이미지","운행방향1","운행방향2","엘레베이터 동영상","엘리베이터 자막","지아철 팝업 이미지","사용여부","편의시설 아이콘 이미지 목록","출구정보","전화번호안내","코스1 첫차","코스1 막차","코스2 첫차","코스2 막차"
"173","4","4호선","노원","<img src='https://wis.eseoul.go.kr/images/disable/subway/4_173_M.jpg' alt='노원 이미지' NAME='stationImg' ID='stationImg'/>","당고개","오이도","http://wis.seoul.go.kr/rest/file/thumbnail/fb1h26s5y0znrfth8e9tpq9z8c6u3hx2/1","승강기 위치는 9번 출구쪽에 있습니다      승강기를 이용하여 2층 대합실로 올라가십시오.      좌측 방향으로 이동하여 우측 개찰구를 통과하십시오.      승강기를 이용하여 승강장으로 올라가십시오.","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228180252.jpg' alt='노원 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143442.jpg' alt='에스켈레이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143945.jpg' alt='휠체어리프트 이미지' />","||1@상계6.7동 주민센터 상계7동 치안센터 상계중학교 상계 119안전센터 성민복지관||||2@노원구청 신상중학교 상수초등학교 한국성서대학교 상계주공아파트 1-6단지 기업은행 노원역지점 KDB산업은행 한국전력공사북부지점 노원 헌혈의 집||||3@운전면허시험장용화여고||||4@수협기업은행상계초등교국민은행||||9@상계동 창동지하철차량기지 도봉운전면허시험장 용화여고 상월초등학교 대림.현대아파트 상계주공아파트||||10@상계2동주민센터 상계10동우체국 상계초등학교 온곡중학교 우성아파트 동양메이저아파트||","긴급전화(역무실) : 02-6110-4111","노원 : 06시04분","노원 : 24시59분","노원 : 05시30분","노원 : 23시12분"
"245","5","5호선","청구","<img src='https://wis.eseoul.go.kr/images/disable/subway/5_245_M.jpg' alt='청구 이미지' NAME='stationImg' ID='stationImg'/>","방화","상일도마천","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='청구 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143442.jpg' alt='에스켈레이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' />","||1@신당우체국 한일은행 장충초등교 신흥항공 국민은행 문화시장 ||||2@동화은행 청구초등교 신당6동파출소||","긴급전화(역무실) : 02-6311-5371","청구 : 05시35분","청구 : 24시47분","청구 : 05시53분","청구 : 24시46분"
"265","5","5호선","오금","<img src='https://wis.eseoul.go.kr/images/disable/subway/5_265_M.jpg' alt='오금 이미지' NAME='stationImg' ID='stationImg'/>","방화","상일도마천","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='오금 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143442.jpg' alt='에스켈레이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143945.jpg' alt='휠체어리프트 이미지' />","||1@송파우체국 오금중학교 오금동현대아파트 ||||2@오금공원 가락현대아파트 시경제2기동대 ||||3@성동구치소 가락2동사무소 쌍용아파트 ||||4@송파경찰서 국립경찰병원 ||||5@중앙일보사(송파) 하나은행 농협 ||","긴급전화(역무실) : 02-6311-5571","오금 : 05시37분","오금 : 24시34분","오금 : 05시38분","오금 : 24시41분"
"59","1","1호선","종로5가","<img src='https://wis.eseoul.go.kr/images/disable/subway/1_59_M.jpg' alt='종로5가 이미지' NAME='stationImg' ID='stationImg'/>","소요산","인천","http://wis.seoul.go.kr/rest/file/thumbnail/2tqku2oymw9jf9wh164sypq9uzhxwj5g/1","승강기 위치는 8번출구 뒤쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      우측 방향으로 이동하신 후 승강기를 이용하여 승강장으로 내려가십시오.","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228172021.jpg' alt='종로5가 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' />","||1@종로4가방면 서울혜화경찰서 종로5가 우체국 중앙선거관리위원회 선거연수원 서울특별시 선거관리위원회 국민건강보험공단 종로지사 서울신용보증재단 동대문지점||||2@대학로방면||||3@효제동 서울특별시 중부교육지원청 효제초등학교 종로노인종합복지관||||4@동대문방면 종로6가 효제동 종로56가동주민센터||||5@동대문방면 종로6가 동대문시장||||6@청계천 5가 평화시장 동대문시장||||7@청계천 5가 광장방산시장 종로5가 지구대||||8@종로4가 방면 예지동 광장시장||","긴급전화(역무실) : 02-6110-1291","종로5가 : 05시29분","종로5가 : 23시10분","종로5가 : 05시21분","종로5가 : 23시36분"
"64","1","1호선","청량리","<img src='https://wis.eseoul.go.kr/images/disable/subway/1_64_M.jpg' alt='청량리 이미지' NAME='stationImg' ID='stationImg'/>","소요산","인천","http://wis.seoul.go.kr/rest/file/thumbnail/8lk34nr1512r5aefr86sz6vfz3zw0ug0/1","승강기 위치는 6번출구 쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      리프트를 이용하여 승강장으로 올라가십시오.","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228172042.jpg' alt='청량리 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' />","||1@제기동방면 경동동서시장||||2@홍릉(영휘원)방면 서울청량리우체국 동대문경찰서 기업은행 청량리지점||||3@동대문세무서 동대문노인종합복지관 미주아파트||||4@청량리역광장||||5@역전치안센터||||6@용두1동 동부청과시장||","긴급전화(역무실) : 02-6110-1241","청량리 : 05시38분","청량리 : 23시20분","청량리 : 05시11분","청량리 : 23시27분"
"87","2","2호선","왕십리","<img src='https://wis.eseoul.go.kr/images/disable/subway/2_87_M.jpg' alt='왕십리 이미지' NAME='stationImg' ID='stationImg'/>","시청","시청","http://wis.seoul.go.kr/rest/file/thumbnail/y57xouc0a3hn1gp4ozxemacycoblbf90/1","승강기 위치는 4번출구 쪽에 있습니다.      상왕십리 방면으로 가실분은 승강기를 이용하여 지하2층으로 내려가십시오.      직진하여 우측 방향으로 이동하시면 승강장이 있습니다.      한양대 방면으로 가실분은 승강기를 이용하여 지하1층 대합실로 내려가십시오.      직진하여 우측 방향으로 이동하신 후 좌측에 있는 개찰구를 통과하십시오.      좌측에 있는 리프트를 이용하여 승강장으로 내려가십시오","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228173343.jpg' alt='왕십리 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143442.jpg' alt='에스켈레이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143945.jpg' alt='휠체어리프트 이미지' />","||1@도선동 한국예술고등학교 청계천방면 성동구선거관리위원회||||2@서울특별시시립장애인치과병원 성동보건소 성동구선거관리위원회 청계천문화회관 성동외국인근로자센터 행당119안전센터 비전플러스직업전문교육센터||||3@성동구청 성동경찰서 대한적십자 서울지사 청계천문화회관 성동교육지원청||||4@사근동한양여중고동마중||||5@마을버스정거장||||6@한양사대부중고교 동마중학교 한양대학교방면||||7@삼부아파트||||8@서울성동경찰서교통정보센터||||9@행당1동주민센터 무학여자중고등학교 동부수도사업소||||10@성동우체국 행당시장||||11@왕십리2동||","긴급전화(역무실) : 02-6110-2081","왕십리 : 05시42분","왕십리 : 23시27분","왕십리 : 05시35분","왕십리 : 23시22분"
"130","2","2호선","건대입구","<img src='https://wis.eseoul.go.kr/images/disable/subway/2_130_M.jpg' alt='건대입구 이미지' NAME='stationImg' ID='stationImg'/>","시청","시청","http://wis.seoul.go.kr/rest/file/thumbnail/k0r0szwp73kkjoii6il1t42dej1qjhyq/1","승강기 위치는 1번출구 쪽에 있습니다.      승강기를 이용하여 2층 대합실로 올라가십시오.      정면 방향으로 이동하여 개찰구를 통과하십시오.      리프트를 이용하여 승강장으로 올라가십시오.","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228172206.jpg' alt='건대입구 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143442.jpg' alt='에스켈레이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143945.jpg' alt='휠체어리프트 이미지' />","||1@성수사거리 화양지구대 화양시장||||2@건국대학교 어린이대공원 화양초등학교 건대역 헌혈의 집 기업은행 건대역지점||||5@자양동방면 한강시민공원(뚝섬지구) 자양중.고교 신양초등학교 동자초등학교 광진문화예술회관 노유로데오길||||6@영동대교 노룬산시장 조양시장 서울특별시여성능력개발원||","긴급전화(역무실) : 02-6110-2121","건대입구 : 05시32분","건대입구 : 23시35분","건대입구 : 05시45분","건대입구 : 23시28분"
"73","1","1호선","방학","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='방학 이미지' NAME='stationImg' ID='stationImg'/>","소요산","인천","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='방학 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","","||1@신도봉시장방학2동사무소동북서울병원조흥은행버스정류장국민은행상업은행초원부페||||2@도봉중학교도봉2동사무소도봉2동파출소(주)미원도봉시장서원아파트도봉정보산업고교창동중학교창도초등학교평화은행미원운동장도봉소방서한국통신우체국농협동성웨딩중소기업은행방학1동사무소방학1동파출소방학사거리쌍용아파트정병원||","긴급전화(역무실) : 02-954-1348","방학 : 05시09분","방학 : 24시15분","방학 : 05시12분","방학 : 23시49분"
"75","1","1호선","도봉산","<img src='https://wis.eseoul.go.kr/images/disable/subway/7_308_M.jpg' alt='도봉산 이미지' NAME='stationImg' ID='stationImg'/>","소요산","인천","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='도봉산 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' />","||1@도봉산국립공원도봉웨딩홀도봉한신APT군인APT||","긴급전화(역무실) : 031-873-7788","도봉산 : 05시13분","도봉산 : 24시19분","도봉산 : 05시08분","도봉산 : 23시45분"
"160","3","3호선","고속터미널","<img src='https://wis.eseoul.go.kr/images/disable/subway/3_160_M.jpg' alt='고속터미널 이미지' NAME='stationImg' ID='stationImg'/>","대화","수서","http://wis.seoul.go.kr/rest/file/thumbnail/mlamma0gsgyw0gd2au0d3y05u531bzsx/1","승강기 위치는 1번 출구쪽에 있습니다      승강기를 이용하여 지하 2층 대합실로 내려가십시오.      우측에 있는 개찰구를 통과하십시오.      정면에 있는 승강기를 이용하여 승강장으로 내려가십시오","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228175200.jpg' alt='고속터미널 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' />","||1@고속버스터미널(경부선)||||2@화물취급소 반포미도아파트||||3@조달청국립중앙도서관||||4@호남선영동선고속버스터미널||||7@반포4동 공정거래위원회 서울지방조달청 기획예산처 국립중앙도서관 카톨릭대학교 의과대학 간호대학||||8@호남선 고속버스터미널 반포대교 방면 강남터미널지하상가 반포 2동 한신 아파트 신반포주공아파트||","긴급전화(역무실) : 02-6110-3391","고속터미널 : 05시35분","고속터미널 : 23시50분","고속터미널 : 05시36분","고속터미널 : 24시22분"
